Region	Population
18127	170,389
18129	25,427
18131	12,353
18133	37,576
18135	24,665
18137	28,324
18139	16,581
18141	271,826
18143	23,873
18145	44,729
18147	20,277
18149	22,995
18151	34,594
18153	20,669
18155	10,751
18157	195,732
18159	15,148
18161	7,054
18163	181,451
18165	15,498
18167	107,038
18169	30,996
18171	8,265
18173	62,998
18175	28,036
18177	65,884
18179	28,296
18181	24,102
18183	33,964
19001	7,152
19003	3,602
19005	13,687
19007	12,426
19009	5,496
19011	25,645
19013	131,228
19015	26,234
19017	25,062
19019	21,175
19021	19,620
19023	14,439
19025	9,668
19027	20,165
19029	12,836
19031	18,627
19033	42,450
19035	11,235
19037	11,933
19039	9,395
19041	16,016
19043	17,549
19045	46,429
19047	16,820
19049	93,453
19051	9,000
19053	7,870
19055	17,011
19057	38,967
19059	17,258
19061	97,311
19063	9,208
19065	19,650
19067	15,642
19069	10,070
19071	6,960
19073	8,888
19075	12,232
19077	10,689
19079	14,773
19081	10,630
19083	16,846
19085	14,049
19087	19,954
19089	9,158
19091	9,558
19093	6,860
19095	16,184
19097	19,439
19099	37,185
19101	18,295
19103	151,140
19105	20,681
19107	10,246
19109	14,813
19111	33,657
19113	226,706
19115	11,035
19117	8,600
19119	11,755
19121	16,338
19123	22,095
19125	33,253
19127	39,369
19129	15,109
19131	10,586
19133	8,615
19135	7,707
19137	9,917
19139	42,664
19141	13,753
19143	5,958
19145	15,107
19147	8,886
19149	25,177
19151	6,619
19153	490,161
19155	93,206
19157	18,504
19159	4,894
19161	9,721
19163	172,943
19165	11,454
19167	34,855
19169	97,117
19171	16,854
19173	6,121
19175	12,241
19177	7,044
19179	34,969
19181	51,466
19183	21,965
19185	6,441
19187	35,904
19189	10,354
19191	19,991
19193	103,107
19195	7,381
19197	12,562
20001	12,369
20003	7,858
20005	16,073
20007	4,427
20009	25,779
20011	14,534
20013	9,564
20015	66,911
20017	2,648
20019	3,250
20021	19,939
20023	2,657
20025	1,994
20027	8,002
20029	8,786
20031	8,179
20033	1,700
20035	34,908
20037	38,818
20039	2,827
20041	18,466
20043	7,600
20045	122,259
20047	2,798
20049	2,530
20051	28,553
20053	6,102
20055	36,467
20057	33,619
20059	25,544
20061	31,670
20063	2,636
20065	2,482
20067	7,150
20069	5,988
20071	1,232
20073	5,982
20075	2,539
20077	5,436
20079	34,429
20081	3,968
20083	1,794
20085	13,171
20087	19,043
20089	2,879
20091	602,401
20093	3,838
20095	7,152
20097	2,475
20099	19,618
20101	1,535
20103	81,758
20105	2,962
20107	9,703
20109	2,794
20111	33,195
20113	28,542
20115	11,884
20117	9,707
20119	4,033
20121	34,237
20123	5,979
20125	31,829
20127	5,620
20129	2,587
20131	10,231
20133	16,007
20135	2,750
20137	5,361
20139	15,949
20141	3,421
20143	5,704
20145	6,414
20147	5,234
20149	24,383
20151	9,164
20153	2,530
20155	61,998
20157	4,636
20159	9,537
20161	74,232
20163	4,920
20165	3,036
20167	6,856
20169	54,224
20171	4,823
20173	516,042
20175	21,428
20177	176,875
20179	2,521
20181	5,917
20183	3,583
20185	4,156
20187	2,006
20189	5,485
20191	22,836
20193	7,777
20195	2,803
20197	6,931
20199	1,518
20201	5,406
20203	2,119
20205	8,525
20207	3,138
20209	165,429
21001	19,202
21003	21,315
21005	22,747
21007	7,888
21009	44,249
21011	12,500
21013	26,032
21015	133,581
21017	19,788
21019	46,718
21021	30,060
21023	8,303
21025	12,630
21027	20,477
21029	81,676
21031	12,879
21033	12,747
21035	39,001
21037	93,584
21039	4,760
21041	10,631
21043	26,797
21045	16,159
21047	70,461
21049	36,263
21051	19,901
21053	10,218
21055	8,806
21057	6,614
21059	101,511
21061	12,150
21063	7,517
21065	14,106
21067	323,152
21069	14,581
21071	35,589
21073	50,991
21075	5,969
21077	8,869
21079	17,666
21081	25,069
21083	37,266
21085	26,427
21087	10,941
21089	35,098
21091	8,722
21093	110,958
21095	26,010
21097	18,886
21099	19,035
21101	45,210
21103	16,126
21105	4,380
21107	44,686
21109	13,329
21111	766,757
21113	54,115
21115	22,188
21117	166,998
21119	14,806
21121	31,145
21123	14,398
21125	60,813
21127	15,317
21129	7,403
21131	9,877
21133	21,553
21135	13,275
21137	24,549
21139	9,194
21141	27,102
21143	8,210
21145	65,418
21147	17,231
21149	9,207
21151	92,987
21153	12,161
21155	19,273
21157	31,100
21159	11,195
21161	17,070
21163	28,572
21165	6,489
21167	21,933
21169	10,071
21171	10,650
21173	28,157
21175	13,309
21177	30,622
21179	46,233
21181	7,269
21183	23,994
21185	66,799
21187	10,901
21189	4,415
21191	14,590
21193	25,758
21195	57,876
21197	12,359
21199	64,979
21201	2,108
21203	16,695
21205	24,460
21207	17,923
21209	57,004
21211	49,024
21213	18,572
21215	19,351
21217	25,769
21219	12,294
21221	14,651
21223	8,471
21225	14,381
21227	132,896
21229	12,095
21231	20,333
21233	12,942
21235	36,264
21237	7,157
21239	26,734
22001	62,045
22003	25,627
22005	126,604
22007	21,891
22009	40,144
22011	37,497
22013	13,241
22015	127,039
22017	240,204
22019	203,436
22021	9,918
22023	6,973
22025	9,494
22027	15,670
22029	19,259
22031	27,463
22033	440,059
22035	6,861
22037	19,135
22039	33,395
22041	20,015
22043	22,389
22045	69,830
22047	32,511
22049	15,744
22051	432,493
22053	31,368
22055	244,390
22057	97,614
22059	14,892
22061	46,742
22063	140,789
22065	10,951
22067	24,874
22069	38,158
22071	390,144
22073	153,279
22075	23,197
22077	21,730
22079	129,648
22081	8,442
22083	20,122
22085	23,884
22087	47,244
22089	53,100
22091	10,132
22093	21,096
22095	42,837
22097	82,124
22099	53,431
22101	49,348
22103	260,419
22105	134,758
22107	4,334
22109	110,461
22111	22,108
22113	59,511
22115	47,429
22117	46,194
22119	38,340
22121	26,465
22123	10,830
22125	15,568
22127	13,904
23001	108,277
23003	67,055
23005	295,003
23007	30,199
23009	54,987
23011	122,302
23013	39,772
23015	34,634
23017	57,975
23019	152,148
23021	16,785
23023	35,856
23025	50,484
23027	39,715
23029	31,379
23031	207,641
24001	70,416
24003	579,234
24005	827,370
24009	92,525
24011	33,406
24013	168,447
24015	102,855
24017	163,257
24019	31,929
24021	259,547
24023	29,014
24025	255,441
24027	325,690
24029	19,422
24031	1,050,688
24033	909,327
24035	50,381
24037	113,510
24039	25,616
24041	37,181
24043	151,049
24045	103,609
24047	52,276
24510	593,490
25001	212,990
25003	124,944
25005	565,217
25007	17,332
25009	789,034
25011	70,180
25013	466,372
25015	160,830
25017	1,611,699
25019	11,399
25021	706,775
25023	521,202
25025	803,907
25027	830,622
26001	10,405
26003	9,108
26005	118,081
26007	28,405
26009	23,324
26011	14,883
26013	8,209
26015	61,550
26017	103,126
26019	17,766
26021	153,401
26023	43,517
26025	134,159
26027	51,787
26029	26,143
26031	25,276
26033	37,349
26035	30,950
26037	79,595
26039	14,029
26041	35,784
26043	25,239
26045	110,268
26047	33,415
26049	405,813
26051	25,449
26053	13,975
26055	93,088
26057	40,711
26059	45,605
26061	35,684
26063	30,981
26065	292,406
26067	64,697
26069	25,127
26071	11,066
26073	69,872
26075	158,510
26077	265,066
26079	18,038
26081	656,955
26083	2,116
26085	11,853
26087	87,607
26089	21,761
26091	98,451
26093	191,995
26095	6,229
26097	10,799
26099	873,972
26101	24,558
26103	66,699
26105	29,144
26107	43,453
26109	22,780
26111	83,156
26113	15,118
26115	150,500
26117	63,888
26119	9,328
26121	173,566
26123	48,980
26125	1,257,584
26127	26,467
26129	20,997
26131	5,720
26133	23,460
26135	8,241
26137	24,668
26139	291,830
26141	12,592
26143	24,019
26145	190,539
26147	159,128
26149	60,964
26151	41,170
26153	8,094
26155	68,122
26157	52,245
26159	75,677
26161	367,601
26163	1,749,343
26165	33,631
27001	15,886
27003	356,921
27005	34,423
27007	47,188
27009	40,889
27011	4,991
27013	67,653
27015	25,008
27017	35,871
27019	105,089
27021	29,779
27023	11,800
27025	56,579
27027	64,222
27029	8,818
27031	5,463
27033	11,196
27035	65,055
27037	429,021
27039	20,934
27041	38,141
27043	13,653
27045	21,067
27047	30,281
27049	46,340
27051	5,972
27053	1,265,843
27055	18,600
27057	21,491
27059	40,596
27061	45,130
27063	9,846
27065	16,337
27067	43,199
27069	4,298
27071	12,229
27073	6,623
27075	10,641
27077	3,740
27079	28,887
27081	5,639
27083	25,474
27085	35,893
27087	5,527
27089	9,336
27091	19,683
27093	23,222
27095	26,277
27097	33,386
27099	40,062
27101	8,194
27103	34,274
27105	21,629
27107	6,375
27109	158,293
27111	58,746
27113	14,119
27115	29,579
27117	9,126
27119	31,364
27121	11,249
27123	550,321
27125	4,055
27127	15,170
27129	14,548
27131	66,972
27133	9,315
27135	15,165
27137	199,070
27139	149,013
27141	97,238
27143	14,865
27145	161,075
27147	36,649
27149	9,805
27151	9,266
27153	24,664
27155	3,259
27157	21,627
27159	13,682
27161	18,612
27163	262,440
27165	10,897
27167	6,207
27169	50,484
27171	138,377
27173	9,709
28001	30,693
28003	36,953
28005	12,297
28007	18,174
28009	8,259
28011	30,628
28013	14,361
28015	9,947
28017	17,103
28019	8,210
28021	8,988
28023	15,541
28025	19,316
28027	22,124
28029	28,065
28031	18,636
28033	184,945
28035	74,897
28037	7,713
28039	24,500
28041	13,586
28043	20,758
28045	47,632
28047	208,080
28049	231,840
28051	17,010
28053	8,064
28055	1,327
28057	23,390
28059	143,617
28061	16,383
28063	6,990
28065	11,128
28067	68,098
28069	9,742
28071	54,019
28073	63,343
28075	74,125
28077	12,586
28079	22,786
28081	85,436
28083	28,183
28085	34,153
28087	58,595
28089	106,272
28091	24,573
28093	35,294
28095	35,252
28097	9,775
28099	29,118
28101	21,018
28103	10,417
28105	49,587
28107	34,192
28109	55,535
28111	11,973
28113	39,288
28115	32,174
28117	25,126
28119	6,792
28121	155,271
28123	28,124
28125	4,321
28127	26,658
28129	15,916
28131	18,336
28133	25,110
28135	13,809
28137	28,321
28139	22,015
28141	19,383
28143	9,632
28145	28,815
28147	14,286
28149	45,381
28151	43,909
28153	20,183
28155	9,689
28157	8,630
28159	17,955
28161	12,108
28163	29,690
29001	25,343
29003	17,712
29005	5,143
29007	25,388
29009	35,789
29011	11,754
29013	16,172
29015	19,443
29017	12,133
29019	180,463
29021	87,364
29023	42,478
29025	9,020
29027	44,743
29029	46,305
29031	78,871
29033	8,679
29035	5,982
29037	105,780
29039	14,349
29041	7,426
29043	88,595
29045	6,797
29047	249,948
29049	20,387
29051	76,745
29053	17,709
29055	23,920
29057	7,561
29059	16,878
29061	8,278
29063	12,547
29065	15,573
29067	13,185
29069	29,131
29071	103,967
29073	14,706
29075	6,571
29077	293,086
29079	9,850
29081	8,352
29083	21,824
29085	9,544
29087	4,403
29089	10,001
29091	40,117
29093	10,125
29095	703,011
29097	121,328
29099	225,081
29101	54,062
29103	3,959
29105	35,723
29107	32,708
29109	38,355
29111	9,776
29113	59,013
29115	11,920
29117	15,227
29119	22,837
29121	15,117
29123	12,088
29125	8,697
29127	28,530
29129	3,617
29131	25,619
29133	13,180
29135	16,132
29137	8,644
29139	11,551
29141	20,627
29143	17,076
29145	58,236
29147	22,092
29149	10,529
29151	13,615
29153	9,174
29155	15,805
29157	19,136
29159	42,339
29161	44,573
29163	18,302
29165	104,418
29167	32,149
29169	52,607
29171	4,696
29173	10,309
29175	24,748
29177	23,018
29179	6,270
29181	13,288
29183	402,022
29185	9,397
29186	17,894
29187	67,215
29189	994,205
29195	22,761
29197	4,660
29199	4,902
29201	38,280
29203	8,166
29205	5,930
29207	29,025
29209	31,952
29211	6,089
29213	55,928
29215	25,398
29217	20,563
29219	35,649
29221	24,730
29223	12,873
29225	39,592
29227	2,013
29229	18,289
29510	300,576
30001	9,453
30003	13,319
30005	6,681
30007	6,237
30009	10,725
30011	1,252
30013	81,366
30015	5,635
30017	11,402
30019	1,690
30021	8,613
30023	9,140
30025	2,846
30027	11,050
30029	103,806
30031	114,434
30033	1,258
30035	13,753
30037	821
30039	3,379
30041	16,484
30043	12,221
30045	2,007
30047	30,458
30049	69,432
30051	2,337
30053	19,980
30055	1,664
30057	8,600
30059	1,862
30061	4,397
30063	119,600
30065	4,633
30067	16,606
30069	487
30071	3,954
30073	5,911
30075	1,682
30077	6,890
30079	1,077
30081	43,806
30083	10,803
30085	11,004
30087	8,937
30089	12,113
30091	3,309
30093	34,915
30095	9,642
30097	3,737
30099	6,147
30101	4,736
30103	696
30105	7,396
30107	2,126
30109	969
30111	161,300
31001	31,363
31003	6,298
31005	463
31007	745
31009	465
31011	5,192
31013	10,783
31015	1,919
31017	2,955
31019	49,659
31021	6,459
31023	8,016
31025	26,248
31027	8,402
31029	3,924
31031	5,689
31033	8,910
31035	6,203
31037	10,709
31039	8,846
31041	10,777
31043	20,026
31045	8,589
31047	23,595
31049	1,794
31051	5,636
31053	36,565
31055	571,327
31057	1,693
31059	5,462
31061	2,979
31063	2,627
31065	4,676
31067	21,513
31069	1,837
31071	1,969
31073	1,990
31075	623
31077	2,356
31079	61,353
31081	9,324
31083	3,380
31085	922
31087	2,762
31089	10,067
31091	682
31093	6,445
31095	7,046
31097	5,071
31099	6,495
31101	8,034
31103	806
31105	3,632
31107	8,332
31109	319,090
31111	34,914
31113	748
31115	664
31117	494
31119	35,099
31121	7,755
31123	4,642
31125	3,519
31127	6,972
31129	4,148
31131	16,012
31133	2,613
31135	2,891
31137	9,034
31139	7,148
31141	33,470
31143	5,213
31145	10,724
31147	7,865
31149	1,357
31151	14,224
31153	187,196
31155	21,578
31157	35,618
31159	17,284
31161	5,246
31163	3,001
31165	1,166
31167	5,920
31169	5,003
31171	722
31173	7,224
31175	4,158
31177	20,729
31179	9,385
31181	3,487
31183	783
31185	13,679
32001	24,909
32003	2,266,715
32005	48,905
32007	52,778
32009	873
32011	2,029
32013	16,831
32015	5,532
32017	5,183
32019	57,510
32021	4,505
32023	46,523
32027	6,725
32029	4,123
32031	471,519
32033	9,580
32510	55,916
33001	61,303
33003	48,910
33005	76,085
33007	31,563
33009	89,886
33011	417,025
33013	151,391
33015	309,769
33017	130,633
33019	43,146
34001	263,670
34003	932,202
34005	445,349
34007	506,471
34009	92,039
34011	149,527
34013	798,975
34015	291,636
34017	672,391
34019	124,371
34021	367,430
34023	825,062
34025	618,795
34027	491,845
34029	607,186
34031	501,826
34033	62,385
34035	328,934
34037	140,488
34039	556,341
34041	105,267
35001	679,121
35003	3,527
35005	64,615
35006	26,675
35007	11,941
35009	48,954
35011	1,748
35013	218,195
35015	58,460
35017	26,998
35019	4,300
35021	625
35023	4,198
35025	71,070
35027	19,572
35028	19,369
35029	23,709
35031	71,367
35033	4,521
35035	67,490
35037	8,253
35039	38,921
35041	18,500
35043	146,748
35045	123,958
35047	27,277
35049	150,358
35051	10,791
35053	16,637
35055	32,723
35057	15,461
35059	4,059
35061	76,688
36001	305,506
36003	46,091
36005	1,418,207
36007	190,488
36009	76,117
36011	76,576
36013	126,903
36015	83,456
36017	47,207
36019	80,485
36021	59,461
36023	47,581
36025	44,135
36027	294,218
36029	918,702
36031	36,885
36033	50,022
36035	53,383
36037	57,280
36039	47,188
36041	4,416
36043	61,319
36045	109,834
36047	2,559,903
36049	26,296
36051	62,914
36053	70,941
36055	741,770
36057	49,221
36059	1,356,924
36061	1,628,706
36063	209,281
36065	228,671
36067	460,528
36069	109,777
36071	384,940
36073	40,352
36075	117,124
36077	59,493
36079	98,320
36081	2,253,858
36083	158,714
36085	476,143
36087	325,789
36089	107,740
36091	229,863
36093	155,299
36095	30,999
36097	17,807
36099	34,016
36101	95,379
36103	1,476,601
36105	75,432
36107	48,203
36109	102,180
36111	177,573
36113	63,944
36115	61,204
36117	89,918
36119	967,506
36121	39,859
36123	24,913
37001	169,509
37003	37,497
37005	11,137
37007	24,446
37009	27,203
37011	17,557
37013	46,994
37015	18,947
37017	32,722
37019	142,820
37021	261,191
37023	90,485
37025	216,453
37027	82,178
37029	10,867
37031	69,473
37033	22,604
37035	159,551
37037	74,470
37039	28,612
37041	13,943
37043	11,231
37045	97,947
37047	55,508
37049	102,139
37051	335,509
37053	27,763
37055	37,009
37057	167,609
37059	42,846
37061	58,741
37063	321,488
37065	51,472
37067	382,295
37069	69,685
37071	224,529
37073	11,562
37075	8,441
37077	60,443
37079	21,069
37081	537,174
37083	50,010
37085	135,976
37087	62,317
37089	117,417
37091	23,677
37093	55,234
37095	4,937
37097	181,806
37099	43,938
37101	209,339
37103	9,419
37105	61,779
37107	55,949
37109	86,111
37111	45,756
37113	35,858
37115	21,755
37117	22,440
37119	1,110,356
37121	14,964
37123	27,173
37125	100,880
37127	94,298
37129	234,473
37131	19,483
37133	197,938
37135	148,476
37137	12,726
37139	39,824
37141	63,060
37143	13,463
37145	39,490
37147	180,742
37149	20,724
37151	143,667
37153	44,829
37155	130,625
37157	91,010
37159	142,088
37161	67,029
37163	63,531
37165	34,823
37167	62,806
37169	45,591
37171	71,783
37173	14,271
37175	34,385
37177	4,016
37179	239,859
37181	44,535
37183	1,111,761
37185	19,731
37187	11,580
37189	56,177
37191	123,131
37193	68,412
37195	81,801
37197	37,667
37199	18,069
38001	2,216
38003	10,415
38005	6,832
38007	928
38009	6,282
38011	3,024
